wkt_geom,fid,full_id,osm_id,osm_type,highway,lamp_mount,material,power,lamp_type,lit
Point (-106.65336369999999988 52.10014799999999724),712,n4310616164,4310616164,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65248569999999972 52.10014830000000075),713,n4310616165,4310616165,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65142489999999498 52.10014780000000201),714,n4310616166,4310616166,node,street_lamp,NULL,wood,pole,electric,
Point (-106.65092869999999436 52.1001474999999985),715,n4310616167,4310616167,node,street_lamp,NULL,wood,pole,electric,
Point (-106.64997110000000191 52.10014699999999976),716,n4310616168,4310616168,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64886839999999779 52.10014650000000103),717,n4310616169,4310616169,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64944810000000075 52.10014679999999743),718,n4310616170,4310616170,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64841140000000053 52.10014619999999752),719,n4310616171,4310616171,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64787420000000395 52.10014590000000112),720,n4310616174,4310616174,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64732429999999397 52.10014569999999878),721,n4310616175,4310616175,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64668960000000197 52.10014530000000121),722,n4310616176,4310616176,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65202739999999437 52.10014809999999841),723,n4310616177,4310616177,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65299939999999879 52.10014859999999715),724,n4310616178,4310616178,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65384570000000508 52.10014910000000299),725,n4310616179,4310616179,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65430700000000286 52.10014929999999822),726,n4310616180,4310616180,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65470530000000338 52.10014950000000056),727,n4310616181,4310616181,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65517339999999535 52.10014970000000289),728,n4310616182,4310616182,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65802279999999769 52.10015119999999911),729,n4310616183,4310616183,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65752240000000484 52.10015099999999677),730,n4310616184,4310616184,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65705950000000257 52.10015070000000037),731,n4310616185,4310616185,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65658779999999695 52.10015049999999803),732,n4310616186,4310616186,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65570540000000221 52.1001499999999993),733,n4310616188,4310616188,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65596320000000219 52.09869220000000212),734,n4310616499,4310616499,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65547170000000676 52.09869259999999969),735,n4310616500,4310616500,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65469910000000198 52.09869330000000076),736,n4310616502,4310616502,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65385569999999404 52.09869400000000184),737,n4310616504,4310616504,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65336480000000563 52.0986943999999994),738,n4310616505,4310616505,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65280880000000252 52.09869489999999814),739,n4310616506,4310616506,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65201810000000648 52.09869559999999922),740,n4310616508,4310616508,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65139809999999443 52.09869609999999795),741,n4310616509,4310616509,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.6504273999999981 52.0986969000000002),742,n4310616515,4310616515,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64975870000000668 52.0986975000000001),743,n4310616516,4310616516,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64886540000000537 52.09869929999999982),744,n4310616518,4310616518,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64792110000000491 52.09869900000000342),745,n4310616520,4310616520,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64730729999999426 52.09870020000000324),746,n4310616521,4310616521,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65042699999999343 52.1001472000000021),747,n4310690762,4310690762,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65586279999999419 52.09724020000000166),748,n4310690786,4310690786,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65544950000000313 52.09724090000000274),749,n4310690787,4310690787,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65508289999999647 52.09724140000000148),750,n4310690788,4310690788,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65469520000000614 52.09724059999999923),751,n4310691489,4310691489,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65336469999999736 52.09724580000000316),752,n4310691490,4310691490,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64731439999999907 52.09723859999999718),753,n4310817166,4310817166,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64886850000000607 52.09723569999999881),754,n4310817169,4310817169,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.64731449999999313 52.09520580000000223),755,n4310817181,4310817181,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65013940000000048 52.09337219999999746),756,n4310818195,4310818195,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65398279999999431 52.09337099999999765),757,n4310818208,4310818208,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66259990000000357 52.09559850000000125),758,n4310818233,4310818233,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65751459999999895 52.09868019999999689),759,n4311268110,4311268110,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65829519999999775 52.09892740000000089),760,n4312195428,4312195428,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65828179999999747 52.09945470000000256),761,n4312195429,4312195429,node,street_lamp,NULL,NULL,NULL,,
Point (-106.65829789999999377 52.09981189999999884),762,n4312234490,4312234490,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65861169999999447 52.10015130000000028),763,n4312444889,4312444889,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.659201699999997 52.10015130000000028),764,n4312444890,4312444890,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65970389999999668 52.10014939999999939),765,n4312444891,4312444891,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66016910000000451 52.10014840000000191),766,n4312444892,4312444892,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66065360000000339 52.10014890000000065),767,n4312444893,4312444893,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66108400000000245 52.1001503000000028),768,n4312444896,4312444896,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66152309999999659 52.10014780000000201),769,n4312444897,4312444897,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66206579999999349 52.10014660000000219),770,n4312444898,4312444898,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65999999999999659 52.09831969999999757),771,n4312444990,4312444990,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.66041060000000584 52.09880799999999823),772,n4312444991,4312444991,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.66067889999999352 52.09929619999999773),773,n4312444992,4312444992,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.66092290000000276 52.09980319999999665),774,n4312444993,4312444993,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65971539999999607 52.09802630000000079),775,n4312445000,4312445000,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65827989999999659 52.09857650000000007),776,n4312445041,4312445041,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65827529999999967 52.09824660000000307),777,n4312445042,4312445042,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65900849999999878 52.09817780000000198),778,n4312445043,4312445043,node,street_lamp,NULL,NULL,NULL,electric,